feature,importance
return_3h,0.01908637072766062
return_6h,0.014691805649126055
volume_lag_24,0.01196066287823399
volume_lag_1,0.008549259405553854
return_1h,0.006797017007961415
OBV,0.0052552491501430985
volume_lag_3,0.004463099696476459
volume,0.0038167103850624265
volume_lag_6,0.0034047476902975
vol_24h,0.0033483931850793857
RSI_14,0.0031320164325742235
hour,0.00253136622967252
vol_6h,0.002253423320511818
volume_lag_12,0.0021439100013885696
vol_3h,0.0017754790463208625
MACD,0.0016466652629792582
dayofweek,0.0014615293734638632
MACD_signal,0.0013846535856292825
vol_12h,0.00122556226575282
high,0.001213022096237426
day,0.0011064832470780168
close,0.001026968055917204
close_lag_3,0.0008726430183831949
low,0.0007196533127853526
open,0.0006866886499077558
close_lag_6,0.0006577393636526004
close_lag_24,0.0006546739624942081
BBL,0.000601231229263833
BBU,0.0005039509230742778
EMA_20,0.0004805839082324362
close_lag_1,0.0004597450682905965
close_lag_12,0.0002642128080531975
BBM,0.0002582847967883962
SMA_20,0.00021903295689525878
