feature,importance
low,0.026016539
return_3h,0.023605933
OBV,0.023290731
volume_lag_24,0.02297219
hour,0.02289524
volume_lag_1,0.020235458
high,0.01899952
MACD,0.017239736
return_1h,0.016963735
volume,0.016878815
MACD_signal,0.016174996
return_6h,0.015987622
volume_lag_3,0.015536405
RSI_14,0.012488366
volume_lag_12,0.01148088
volume_lag_6,0.011414679
vol_6h,0.01000666
vol_24h,0.009178338
day,0.007493486
vol_3h,0.007467612
close_lag_24,0.0065301443
BBL,0.0058561163
BBU,0.005805695
vol_12h,0.0057575367
close,0.0043728147
dayofweek,0.0041087065
open,0.0035529623
SMA_20,0.0029915487
close_lag_6,0.0028883172
close_lag_3,0.0028865421
close_lag_12,0.002342024
EMA_20,0.0018710284
close_lag_1,0.0012628179
BBM,0.0009181248
