feature,importance
BBU,0.008259748230282474
return_1h,0.007609672565318526
return_3h,0.005625583625655334
BBL,0.0042535050630256145
close_lag_12,0.003562710821481314
return_6h,0.0029604399998880673
SMA_20,0.0028019472128777635
close_lag_24,0.0022248158996251858
MACD_signal,0.002146459966496752
hour,0.0019782631737008073
RSI_14,0.001975587462701992
volume_lag_12,0.0018015186914367518
low,0.0017723702704704187
vol_3h,0.0016452535364976022
OBV,0.001629950225170173
MACD,0.0015926291520961748
vol_12h,0.0015803781890826511
volume_lag_6,0.0015550012496596474
open,0.0013505530993321439
volume_lag_1,0.0013167693516780029
volume_lag_24,0.0012500519778880425
volume_lag_3,0.0012321265004428376
close_lag_6,0.0011591537138260861
volume,0.0010598169218057612
BBM,0.0010229733339163591
vol_6h,0.000992378584956142
high,0.0009018755944000829
close,0.0008723939271329373
vol_24h,0.0008120862050899839
day,0.0005069995615665268
close_lag_3,0.0004235903442649187
EMA_20,0.00038589347103510464
close_lag_1,0.0002386421982177302
dayofweek,0.00021019075019693153
