feature,importance
open,0.03394052
OBV,0.022571051
return_3h,0.012609551
return_1h,0.012359074
MACD_signal,0.011688708
RSI_14,0.0109185735
MACD,0.00980554
vol_6h,0.009780244
vol_12h,0.009491463
day,0.009241574
close_lag_12,0.009125995
volume_lag_1,0.008928967
BBL,0.008676524
hour,0.008613909
close,0.008424478
BBU,0.007659872
volume_lag_24,0.007477137
low,0.0072570904
return_6h,0.0070392634
SMA_20,0.006861141
close_lag_6,0.0067866025
volume,0.0065769823
volume_lag_12,0.006519995
vol_24h,0.0062451134
volume_lag_6,0.005959277
vol_3h,0.005862785
high,0.0058575873
volume_lag_3,0.0052081654
close_lag_24,0.005045289
EMA_20,0.004983614
close_lag_3,0.0038103089
close_lag_1,0.0018994261
dayofweek,0.0012622181
BBM,0.00020512364
