feature,importance
EMA_20,0.022262811076046586
BBU,0.011120341538123758
return_1h,0.009362042414397843
return_3h,0.007420643067030335
return_6h,0.005591627386738222
OBV,0.0038266003266174426
close,0.0034268572518495197
close_lag_3,0.003168497268101996
close_lag_24,0.0029117239605268392
vol_6h,0.0025120293275958058
low,0.002395841697036254
vol_3h,0.0022091999083470376
close_lag_12,0.002123940359539655
close_lag_6,0.0020673549286337224
MACD_signal,0.0019646342170655503
volume_lag_24,0.0019057739858682804
vol_12h,0.0018936020345089867
hour,0.001785748449957298
volume_lag_12,0.0016995282343969477
MACD,0.0016051498473758793
vol_24h,0.001476814730386615
close_lag_1,0.0012179320393229667
BBL,0.0012130204701886842
high,0.0011843760599734806
volume_lag_6,0.0011534198364144975
volume_lag_1,0.0011175259875783462
volume,0.0010758851544287458
volume_lag_3,0.001074913169733563
RSI_14,0.0010508691549834725
open,0.0008302350726929831
SMA_20,0.0007522819575720003
dayofweek,0.0006701414582972831
day,0.0006114613676505051
BBM,0.0002428946099066407
