feature,importance
close,0.017277611
close_lag_12,0.017232364
low,0.016337529
OBV,0.014602881
volume_lag_24,0.013932258
BBU,0.012377834
return_3h,0.012257805
return_1h,0.011911668
hour,0.010885243
vol_6h,0.010831842
vol_3h,0.010766023
close_lag_3,0.010472576
volume_lag_3,0.009826362
MACD_signal,0.009690793
return_6h,0.0094764065
volume_lag_12,0.00942615
RSI_14,0.008945653
close_lag_6,0.008944595
close_lag_24,0.008644342
BBL,0.008128514
volume,0.0074919364
MACD,0.007448248
vol_24h,0.0071072686
EMA_20,0.0069081364
vol_12h,0.0067102336
volume_lag_1,0.0066733784
SMA_20,0.0062756096
day,0.004277606
volume_lag_6,0.004132911
dayofweek,0.0037427486
open,0.0033230516
high,0.0023154768
close_lag_1,0.00073359185
BBM,5.891476e-05
