feature,importance
high,0.042130046
OBV,0.034968887
volume_lag_24,0.030845344
BBL,0.0257922
close_lag_24,0.019094216
EMA_20,0.016387252
close_lag_1,0.01531901
return_1h,0.013638106
vol_6h,0.013295397
vol_12h,0.012180482
volume,0.011907153
return_3h,0.011284597
return_6h,0.009629863
SMA_20,0.008806681
hour,0.008461746
day,0.008022989
RSI_14,0.007664257
vol_3h,0.007634543
MACD_signal,0.007428639
MACD,0.0069015967
volume_lag_6,0.0060541853
vol_24h,0.005818584
volume_lag_12,0.0052984967
open,0.0052208076
close_lag_12,0.004745943
close_lag_3,0.00455408
volume_lag_3,0.004347165
volume_lag_1,0.0033076871
close,0.0026403987
close_lag_6,0.0021440429
BBU,0.0019205115
dayofweek,0.0017098009
low,0.0010401045
BBM,0.00057503296
