feature,importance
return_1h,0.011508307461903544
return_3h,0.009858004836539772
OBV,0.006341552957566449
hour,0.006217880247704912
return_6h,0.0050404669920558025
volume_lag_24,0.004341597967871452
volume,0.003897535722408276
BBL,0.003856606573126105
volume_lag_12,0.00340927104336096
vol_24h,0.003022265140808255
MACD_signal,0.0030106589097574953
volume_lag_6,0.002917776925842825
close_lag_24,0.0028413640583380894
volume_lag_3,0.002615279558833786
BBM,0.002574224644478504
close_lag_1,0.0023899977916252407
close_lag_3,0.002325971030788601
vol_12h,0.002055981425117746
EMA_20,0.002001971479305318
vol_6h,0.0019939377909773738
vol_3h,0.0019749989914989306
RSI_14,0.0019424842141575723
BBU,0.0019188444027490195
volume_lag_1,0.001879275474696647
close_lag_12,0.001841180560236714
SMA_20,0.0016451731540936033
MACD,0.0015740734387685359
close_lag_6,0.0009715307311288004
close,0.000881956182873989
day,0.0007139878961337006
high,0.0007021251548731141
low,0.0006969004363024334
dayofweek,0.000659906282217851
open,6.574689490044517e-05
