feature,importance
hour,0.02054468
close_lag_12,0.018854756
return_1h,0.017843211
OBV,0.017797584
close_lag_3,0.016359227
return_3h,0.016255388
MACD_signal,0.012834712
vol_12h,0.010980727
return_6h,0.010526748
vol_24h,0.010464996
close_lag_1,0.010244672
vol_3h,0.009830451
volume_lag_24,0.008888728
volume_lag_12,0.008868447
day,0.008628727
BBU,0.008624942
volume_lag_3,0.008565765
SMA_20,0.008560129
close_lag_24,0.007856657
volume,0.007823061
vol_6h,0.0077841543
volume_lag_1,0.00768934
high,0.0074647753
RSI_14,0.0066266945
MACD,0.0061717858
volume_lag_6,0.005983268
close,0.0043112314
dayofweek,0.0042201634
low,0.0036594367
close_lag_6,0.0035974067
BBL,0.0027335484
BBM,0.0019038781
EMA_20,0.0015881547
open,0.0015124485
